X,Y,Z
0.0,0.0,0
-3.515625,5.078125,0
-5.46875,11.71875,0
-5.46875,31.640625,0
-0.390625,53.125,0
3.125,62.109375,0
9.765625,73.828125,0
6.25,73.4375,0
5.078125,74.609375,0
-0.390625,71.09375,0
-7.03125,68.75,0
-18.359375,67.578125,0
-18.359375,69.921875,-1.6
-10.9375,69.921875,-1.6
-2.34375,73.046875,-1.6
-19.140625,74.21875,-1.6
-19.53125,76.171875,-1.6
-5.859375,75.0,-1.6
4.296875,77.34375,-1.6
6.640625,80.46875,-1.6
14.84375,85.9375,-1.6
16.796875,94.140625,-1.6
17.578125,94.140625,-3.2
16.796875,86.71875,-3.2
19.53125,88.671875,-3.2
22.65625,95.703125,-3.2
24.21875,95.3125,-3.2
23.4375,90.234375,-3.2
25.78125,92.96875,-3.2
27.734375,92.96875,-3.2
28.515625,91.796875,-3.2
31.640625,92.578125,-3.2
39.84375,91.796875,-3.2
60.546875,95.703125,-3.2
64.453125,95.703125,-3.2
71.875,93.359375,-3.2
71.875,89.84375,-3.2
75.78125,88.28125,-3.2
75.390625,83.203125,-3.2
78.515625,81.640625,-3.2
76.953125,75.390625,-3.2
79.296875,73.828125,-3.2
80.46875,70.703125,-3.2
77.34375,68.359375,-3.2
78.515625,65.234375,-3.2
75.390625,62.890625,-3.2
76.171875,60.15625,-3.2
74.21875,59.375,-3.2
71.875,56.25,-3.2
61.328125,55.46875,-3.2
67.1875,48.4375,-3.2
67.1875,41.796875,-3.2
64.84375,40.234375,-3.2
64.0625,35.546875,-3.2
60.546875,33.59375,-3.2
60.546875,30.46875,-3.2
58.203125,28.90625,-3.2
57.421875,25.390625,-3.2
54.6875,22.265625,-3.2
50.0,5.46875,-3.2
44.53125,3.90625,-3.2
40.234375,5.859375,-3.2
34.375,12.109375,-3.2
29.296875,21.875,-3.2
27.734375,22.65625,-3.2
24.21875,18.359375,-3.2
20.703125,16.40625,-3.2
8.203125,0.0,-3.2
5.46875,-1.171875,-3.2
0.0,0.0,-3.2
